"id","name","normalized_name","gender"
627,"Little Man","little man","Unknown"
628,"Teenager","teenager","Unknown"
630,"Baby Lisa","baby lisa","Unknown"
631,"Salesclerk","salesclerk","Unknown"
632,"Millicent","millicent","Unknown"
633,"Female Clerk","female clerk","Unknown"
634,"Kevin","kevin","Unknown"
635,"Johnny Carson","johnny carson","Unknown"
636,"Scoey","scoey","Unknown"
637,"Teenage Clerk","teenage clerk","Unknown"
639,"DAVE JR.","dave jr","Unknown"
640,"Official","official","Unknown"
641,"Voice From Trunk","voice from trunk","Unknown"
642,"Ronnie","ronnie","Unknown"
643,"DREDERICK","drederick","Unknown"
644,"Wanda","wanda","Unknown"
646,"Girls","girls","Unknown"
647,"Patron #1","patron 1","Unknown"
648,"Patron #2","patron 2","Unknown"
649,"Collette","collette","Unknown"
650,"HARV","harv","Unknown"
651,"Bernard","bernard","Unknown"
653,"Aerosmith","aerosmith","Unknown"
654,"Steven Tyler","steven tyler","Unknown"
655,"Joe Perry","joe perry","Unknown"
656,"Brad Whitford","brad whitford","Unknown"
568,"Fat Tony","fat tony","Male"
570,"Louie","louie","Male"
598,"Rabbi Hyman Krustofsky","rabbi hyman krustofsky","Male"
591,"Luann Van Houten","luann van houten","Female"
615,"Colonel","colonel","Male"
638,"Football Announcer","football announcer","Male"
567,"Executive","executive","Male"
603,"D.J.","dj","Male"
645,"Becky","becky","Female"
585,"Instructor","instructor","Male"
652,"Aide","aide","Male"
626,"Lunchlady Doris","lunchlady doris","Female"
658,"Everyone","everyone","Unknown"
659,"Bartender","bartender","Unknown"
660,"One-eyed Bartender","one-eyed bartender","Unknown"
661,"Flowers","flowers","Unknown"
662,"Tom Hamilton","tom hamilton","Unknown"
663,"Joey Kramer","joey kramer","Unknown"
664,"Snappy","snappy","Unknown"
665,"Broker","broker","Unknown"
666,"Hans","hans","Unknown"
667,"Fritz","fritz","Unknown"
670,"German Teacher","german teacher","Unknown"
671,"Boxer","boxer","Unknown"
672,"Mr. Thorson","mr thorson","Unknown"
673,"Angel","angel","Unknown"
674,"Patient","patient","Unknown"
675,"Justice Of The Peace","justice of the peace","Unknown"
676,"Groom","groom","Unknown"
677,"Applicant #1","applicant 1","Unknown"
678,"Applicant #2","applicant 2","Unknown"
679,"Applicants","applicants","Unknown"
680,"Tourist Kid","tourist kid","Unknown"
681,"Tourist Dad","tourist dad","Unknown"
682,"Boss","boss","Unknown"
